score_segment,user_count,purchase_count,purchase_rate,avg_pred_score
Very Low,635022,1422,0.0022392924969528616,0.15447941700534623
Low,632645,2072,0.00327513850579709,0.2021586488694991
Medium,633834,2900,0.00457533044929745,0.26407678354183767
High,633833,4929,0.007776496332630204,0.38916932568479196
Very High,633834,25466,0.040177712145451336,0.7013411510114267
