top_k,top_k_n,overall_purchase_rate,topk_purchase_rate,recall_at_k,lift_at_k,model
0.05,158458,0.0116084095257809,0.08371303436872862,0.3605697355187692,7.211412914302507,Logistic Regression
0.1,316916,0.0116084095257809,0.059488949753246916,0.5124629644730762,5.124642580977955,Logistic Regression
0.2,633833,0.0116084095257809,0.039196444489321317,0.6753105547853978,3.3765559702447323,Logistic Regression
0.3,950750,0.0116084095257809,0.029506179332106232,0.7625377150778765,2.541793452977043,Logistic Regression
0.05,158458,0.0116084095257809,0.09140592459831627,0.39370463997390526,7.874112676272711,LightGBM
0.1,316916,0.0116084095257809,0.06212371732572669,0.5351599662942728,5.351613172136742,LightGBM
0.2,633833,0.0116084095257809,0.04000422824308611,0.6892277582973171,3.4461420536759553,LightGBM
0.3,950750,0.0116084095257809,0.02976281882724165,0.7691701323765255,2.563901519940519,LightGBM
0.05,158458,0.0116084095257809,0.0916583574196317,0.39479192149827397,7.895858361653193,XGBoost
0.1,316916,0.0116084095257809,0.06223731209531863,0.5361385196662046,5.3613987305579585,XGBoost
0.2,633833,0.0116084095257809,0.040133599859900004,0.691456685422273,3.457286699850487,XGBoost
0.3,950750,0.0116084095257809,0.02982277149618722,0.7707195085487509,2.569066109354118,XGBoost
0.05,158458,0.0116084095257809,0.09197389844627599,0.3961510234037348,7.9230404683787965,CatBoost
0.1,316916,0.0116084095257809,0.06243294753183809,0.5378238060289761,5.378251636727833,CatBoost
0.2,633833,0.0116084095257809,0.040177775533934014,0.6922177824893311,3.4610921887881316,CatBoost
0.3,950750,0.0116084095257809,0.02983749671312122,0.77110005708228,2.5703346049995637,CatBoost
